Placement.points,Contribution,Channel
Facebook-R&F-TargetAffluent(CarouselAd)(impression),1,Facebook
Facebook-TargetAffluent(Clicks-To-WebsiteAd),13,Facebook
FB-CTW(CarouselAd)-AU(impression),2,Facebook
FB-CTW(VideoAd)ForbesVideos-AU,21,Facebook
FB-CTW(VideoAd)ForbesVideos-AU(impression),0,Facebook
Forbes-BonusAd-Billboard-(impression),2,Forbes
Forbes-BonusAd-HalfPage-,0,Forbes
Forbes-BonusAd-HalfPage-(impression),10,Forbes
Forbes-BonusAd-Leaderboard-(impression),0,Forbes
Forbes-BonusAds-Videos(impression),3,Forbes
Gold,2,Google Search
GoogleSponsoredPromotion-TargetAffluent,5,GSP
KrisFlyer,3,Google Search
LinkedIn-SponsoredContent-AsianInsights-AI,4,LinkedIn
LinkedIn-SponsoredInMail-AU,11,LinkedIn
OCBCPremierBanking,11,Google Search
OutBrain-ForbesVideos-AU,3,OutBrain
SCBPriorityBanking,0,Google Search
StandardCharteredPriorityBanking,0,Google Search
Stock_Market,1,Google Search
StraitsTimes.com-Homepage-Launchpad(to)(impression),7,Straits Times
StraitsTimes.com-Homepage-TransAd-16May2016,0,Straits Times
StraitsTimes.com-Homepage-TransAd-16May2016(impression),2,Straits Times
StraitsTimes.com-Homepage-TransAd-18May2016(impression),1,Straits Times
StraitsTimes.com-Homepage-TransAd-19May2016(impression),8,Straits Times
StraitsTimes.com-InsidePagesMobileTransAd,1,Straits Times
StraitsTimes.com-Others(ST&BTROSinSelectedSections),2,Straits Times
StraitsTimes.com-Others(ST&BTROSinSelectedSections)(impression),20,Straits Times
Trading_Account,2,Google Search
Twitter-TargetAffluent-Webinar(WebsiteCard),0,Twitter
Twitter-TargetAffluent-WWW(WebsiteCard),0,Twitter
Twitter-TargetAffluent(WebsiteCard),9,Twitter
Twitter(VideoCard)-ForbesVideos-AU,3,Twitter
Twitter(WebsiteCard)-OfferContent-AU,1,Twitter
UOBPrivilegeBanking,5,Google Search
Wealth_Management,2,Google Search
Y!AudienceAds-IPSG(impression),22,Yahoo!
Y!AudienceAds-IPSGInterestTargetFinance,1,Yahoo!
Y!AudienceAds-IPSGInterestTargetFinance(impression),39,Yahoo!
Yahoo-ContentPage-OfferContent--AU,0,Yahoo!
Yahoo-ContentPage-OfferContent--AU(impression),0,Yahoo!
Yahoo-Instream-PersonalFinance-AU,0,Yahoo!
Yahoo-Instream-PersonalFinance-OfferContent-AU,3,Yahoo!
Yahoo-StreamAds-GeneralTargeting,27,Yahoo!
Yahoo-StreamAds-GeneralTargeting(impression),52,Yahoo!
Yahoo-StreamAds-Retargeting,7,Yahoo!
Yahoo-StreamAds-Retargeting(impression),42,Yahoo!
YahooSGFinanceROS(Age30-49)-Billboard,0,Yahoo!
YahooSGFinanceROS(Age30-49)-Billboard(impression),3,Yahoo!
