Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format,first_prob,contribution to total conversions (unique),last click,weightedvalue,contribution to total conversions (FULL),P2 Overall (Weighted),P1 (Shapley)
AOD - Asian Unstoppables - Lai Chang Wen - Video Ads - AU,AOD - Asian Unstoppables - Lai Chang Wen - Video Ads - AU," $4,081.66 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Candice Lo - Video Ads - AU (impression),AOD - Asian Unstoppables - Candice Lo - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Pocket Sun - Video Ads - AU,AOD - Asian Unstoppables - Pocket Sun - Video Ads - AU," $2,749.82 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Chan Yi Wen - Video Ads - AU (impression),AOD - Asian Unstoppables - Chan Yi Wen - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,8.9214E-05,0.516171101,1,0.5,0.516171101,,
AOD - Asian Unstoppables - Quek Siu Rui - Video Ads - AU,AOD - Asian Unstoppables - Quek Siu Rui - Video Ads - AU," $3,737.57 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Collage - Video Ads - AU (impression),AOD - Asian Unstoppables - Collage - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Rachel Lim - Video Ads - AU,AOD - Asian Unstoppables - Rachel Lim - Video Ads - AU, $12.93 ,Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Grace Chen - Video Ads - AU (impression),AOD - Asian Unstoppables - Grace Chen - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Ted Chen - Video Ads - AU,AOD - Asian Unstoppables - Ted Chen - Video Ads - AU," $4,711.71 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Lai Chang Wen - Video Ads - AU (impression),AOD - Asian Unstoppables - Lai Chang Wen - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital - Desktop,AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital, - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.00974026,0.902272415,1,0.5,0.573052038,0,0.089926478
AOD - Asian Unstoppables - Pocket Sun - Video Ads - AU (impression),AOD - Asian Unstoppables - Pocket Sun - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital - Desktop & Mobile,AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital," $4,890.49 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
AOD - Asian Unstoppables - Quek Siu Rui - Video Ads - AU (impression),AOD - Asian Unstoppables - Quek Siu Rui - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - PMP-PD - BBC - ROS In-App w AOD Targeting,AOD - PMP-PD - BBC - ROS In-App w AOD Targeting," $1,538.51 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,0
AOD - Asian Unstoppables - Rachel Lim - Video Ads - AU (impression),AOD - Asian Unstoppables - Rachel Lim - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - PMP-PD - BBC - ROS w AOD Targeting - Desktop,AOD - PMP-PD - BBC - ROS w AOD Targeting, - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.001960784,0.47503396,0,0.142857143,0.202761348,0,0
AOD - Asian Unstoppables - Ted Chen - Video Ads - AU (impression),AOD - Asian Unstoppables - Ted Chen - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - PMP-PD - BBC - ROS w AOD Targeting - Desktop & Mobile,AOD - PMP-PD - BBC - ROS w AOD Targeting," $6,153.63 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.002570694,0.922795381,1,0.5,0.922795381,,
AOD - Keywords Targeting (impression),AOD - Keywords Targeting ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,0.000104873,20.51426347,16,21.56785714,17.59427708,6.751190476,2.039761091
AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied - Desktop,AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied, - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.005934718,0.977589921,0,0.291666667,0.625745013,0.333333333,0
AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied - Desktop & Mobile,AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied," $4,983.07 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital - Desktop (impression),AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000167279,6.532318119,6,6.869444444,6.15406608,,
AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital - Desktop & Mobile (impression),AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000121127,3.562875505,3,3.688492063,2.961285945,0.5,0.089926478
"AOD - PMP-PD - Mediacorp - Channel News Asia - ROS, target P35+ with HHI above 100k","AOD - PMP-PD - Mediacorp - Channel News Asia - ROS, target P35+ with HHI above 100k"," $1,861.39 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,0.504069374
AOD - PMP-PD - BBC - ROS In-App w AOD Targeting (impression),AOD - PMP-PD - BBC - ROS In-App w AOD Targeting ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0,0,0,0,0,0,0
"AOD - PMP-PD - Mediacorp - Today Online - ROS, target P35+ with HHI above 100k","AOD - PMP-PD - Mediacorp - Today Online - ROS, target P35+ with HHI above 100k"," $1,668.31 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,0.500921658
"AOD - PMP-PD - SPH - ROS, target P35+","AOD - PMP-PD - SPH - ROS, target P35+"," $1,125.75 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
AOD - PMP-PD - BBC - ROS w AOD Targeting - Desktop (impression),AOD - PMP-PD - BBC - ROS w AOD Targeting ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000168876,7.962351965,5,8.497619048,7.250444219,,
AOD - PMP-PD - BBC - ROS w AOD Targeting - Desktop & Mobile (impression),AOD - PMP-PD - BBC - ROS w AOD Targeting ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000112581,4.568954536,5,6.06984127,3.84977567,1.233766234,0
"AOD - PMP-PD - SPH - ROS, target P35+ ( Mobile)","AOD - PMP-PD - SPH - ROS, target P35+", - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,,
AOD - PMP-PG - Forbes - Forbes.com ROS,AOD - PMP-PG - Forbes - Forbes.com ROS," $23,327.95 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,0
AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied - Desktop (impression),AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000120553,3.239695861,6,3.984920635,3.750441769,,
AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied - Desktop & Mobile (impression),AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000133747,4.487545946,5,4.746825397,4.40406992,0.4004329,0
"AOD - PMP-PG - Forbes - Run of Asia Under 30 List, Business, Investing, Leaderhip Channels, IP SG","AOD - PMP-PG - Forbes - Run of Asia Under 30 List, Business, Investing, Leaderhip Channels, IP SG", $6.71 ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.001059322,0.252900089,0,0.25,0.126011608,0,0.239457659
"AOD - PMP-PD - Mediacorp - Channel News Asia - ROS, target P35+ with HHI above 100k (impression)","AOD - PMP-PD - Mediacorp - Channel News Asia - ROS, target P35+ with HHI above 100k ",,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,2.44792E-05,1.493037821,1,1.333333333,1.493037821,5.708766234,0.504069374
AOD - PMP-PG - WSJ - WSJDN Global - AT - C-Suite,AOD - PMP-PG - WSJ - WSJDN Global - AT - C-Suite," $2,461.45 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,0
"AOD - PMP-PD - Mediacorp - Today Online - ROS, target P35+ with HHI above 100k (impression)","AOD - PMP-PD - Mediacorp - Today Online - ROS, target P35+ with HHI above 100k ",,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,5.86553E-05,1.516073342,3,1.277777778,1.427424454,3.35,0.500921658
AOD - PMP-PG - WSJ - WSJDN Global - Run of Business,AOD - PMP-PG - WSJ - WSJDN Global - Run of Business," $18,726.57 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.002747253,0.273954461,1,0.166666667,0.152450769,0.333333333,0.7890625
AOD - PMP-PG - WSJ - WSJDN Global - Run of News,AOD - PMP-PG - WSJ - WSJDN Global - Run of News," $11,831.48 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0.018315018,3.181961807,3,1.583333333,2.329119605,2.166666667,0.501997264
"AOD - PMP-PD - SPH - ROS, target P35+ ( Mobile) (impression)","AOD - PMP-PD - SPH - ROS, target P35+ ",,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0,0,0,0,0,,
"AOD - PMP-PD - SPH - ROS, target P35+ (impression)","AOD - PMP-PD - SPH - ROS, target P35+ ",,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,8.95656E-05,1.440638515,1,1.111111111,1.065648295,,
AOD - PMP-PG - WSJ - WSJDN Global Network - Mobile Web,AOD - PMP-PG - WSJ - WSJDN Global Network," $14,307.37 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display,0,0,0,0,0,0,0.053645117
AOD - PMP-PG - Forbes - Forbes.com ROS (impression),AOD - PMP-PG - Forbes - Forbes.com ROS ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000298003,2.366509805,2,2.345238095,1.833556581,0.533333333,0
Yahoo - Instream - Business - AU,Yahoo - Instream - Business - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native,0,0,0,0,0,,
"AOD - PMP-PG - Forbes - Run of Asia Under 30 List, Business, Investing, Leaderhip Channels, IP SG (impression)","AOD - PMP-PG - Forbes - Run of Asia Under 30 List, Business, Investing, Leaderhip Channels, IP SG ",,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000277582,26.23765866,18,27.4547619,22.910866,4.470634921,0.239457659
Yahoo - Instream - Business - Offer Content - AU,Yahoo - Instream - Business - Offer Content - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native,0,0,0,0,0,,
AOD - PMP-PG - WSJ - WSJDN Global - AT - C-Suite (impression),AOD - PMP-PG - WSJ - WSJDN Global - AT - C-Suite ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000543922,2.813237468,1,2.477777778,2.230322572,1.476190476,0
Yahoo - Instream - Personal Finance - AU,Yahoo - Instream - Personal Finance - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native,0.000615479,1.42804727,0,1.236111111,1.118723991,,
AOD - PMP-PG - WSJ - WSJDN Global - Run of Business (impression),AOD - PMP-PG - WSJ - WSJDN Global - Run of Business ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000322768,14.97792743,10,14.92063492,14.20349671,6.566666667,0.7890625
Yahoo - Instream - Personal Finance - Offer Content - AU,Yahoo - Instream - Personal Finance - Offer Content - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native,0.000615479,1.42804727,3,1.236111111,1.118723991,,
AOD - PMP-PG - WSJ - WSJDN Global - Run of News (impression),AOD - PMP-PG - WSJ - WSJDN Global - Run of News ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000319686,11.1255376,8,13.37301587,10.92090278,3.466666667,0.501997264
YouTube Trueview Instream - Forbes Videos - AU,YouTube Trueview Instream - Forbes Videos - AU, TBC ,Click,YouTube,Brand,YouTube - Brand,,Content Marketing,Publisher,Prospect,Native,0,0,0,0,0,0,0
AOD - PMP-PG - WSJ - WSJDN Global Network - Mobile Web (impression),AOD - PMP-PG - WSJ - WSJDN Global Network ,,Impression,AOD,Brand,AOD - Brand,,,Publisher,Prospect,Display,0.000106229,6.382646775,3,5.963492063,6.641542758,2.583333333,0.053645117
AOD - 3rd Party Audience - Affluent Investors,AOD - 3rd Party Audience - Affluent Investors, $820.90 ,Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0,0,0,0,0,0,0
AOD - Programmatic - (impression),AOD - Programmatic - ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,0,0,0,0,0,22.1504329,0
AOD - Ad Exchange - Microsoft,AOD - Ad Exchange - Microsoft," $3,697.89 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0.001514005,1.263834194,1,0.642857143,1.178547211,1.066666667,1.510443703
AOD - Propecting - Mobile ROE (impression),AOD - Propecting - Mobile ROE ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,4.45055E-05,8.917280573,6,8.916666667,8.752749038,11.41666667,1.946706121
AOD - Ad Exchange - Yahoo,AOD - Ad Exchange - Yahoo," $2,471.74 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0.002631579,0.742592665,0,0.30952381,0.467919612,0.285714286,0.521123142
AOD - Prospecting - ROE (impression),AOD - Prospecting - ROE ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,3.39282E-05,18.03452529,12,19.33412698,15.27252311,6.166666667,1.5
"AOD - Affinity Segments - Interest in Luxury Shopping, Banking and Finance, in-market for Real Estate and Automotive","AOD - Affinity Segments - Interest in Luxury Shopping, Banking and Finance, in-market for Real Estate and Automotive", $606.43 ,Click,AOD,Tactical,AOD - Tactical,,Acquisition,Search,Prospect,Display,,,,,,0,0
"AOD - Prospecting - Top Sites for Banking & Finance, Investments, Real Estate and Luxury Shopping categories (impression)","AOD - Prospecting - Top Sites for Banking & Finance, Investments, Real Estate and Luxury Shopping categories ",,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,4.70967E-05,18.14099547,20,21.06190476,16.95945852,6.952380952,1.690056604
AOD - Keywords Targeting,AOD - Keywords Targeting," $2,660.45 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0,0,0,0,0,0,2.039761091
AOD - Remarketing - Display and Facebook Ad Exchange (impression),AOD - Remarketing - Display and Facebook Ad Exchange ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Remarket,Display,0.000630017,81.77144963,106,91.18174603,87.11552902,35.51356421,8.320741599
AOD - Programmatic -,AOD - Programmatic -, - ,Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0,0,0,0,0,0.25,0
"AOD - Top Site - Banking and Finance, Investment, Local & Business News, Luxury Shopping and Dining (impression)","AOD - Top Site - Banking and Finance, Investment, Local & Business News, Luxury Shopping and Dining ",,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,3.63978E-05,14.94956558,16,15.6234127,12.52277347,4.033333333,1.351063959
AOD - Propecting - Mobile ROE,AOD - Propecting - Mobile ROE," $1,574.25 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0,0,0,0,0,0,1.946706121
Business Times.com - Homepage - Expandable Super Leaderboard (>) (impression),Business Times.com - Homepage - Expandable Super Leaderboard (>) ,,Impression,Business Times,Brand,Business Times - Brand,,,Publisher,Prospect,Display,0.000500826,11.46639694,6,9.694444444,11.55265037,3.719444444,5.609023345
AOD - Prospecting - ROE,AOD - Prospecting - ROE," $3,536.91 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0,0,0,0,0,0,1.5
Criteo - Remarketing (impression),Criteo - Remarketing ,,Impression,Criteo,Tactical,Criteo - Tactical,,,Exchange,Remarket,Display,0.000840963,165.3925155,212,160.5571429,222.0598089,,
"AOD - Prospecting - Top Sites for Banking & Finance, Investments, Real Estate and Luxury Shopping categories","AOD - Prospecting - Top Sites for Banking & Finance, Investments, Real Estate and Luxury Shopping categories"," $3,478.53 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0,0,0,0,0,0.666666667,1.690056604
AOD - Remarketing - Display and Facebook Ad Exchange,AOD - Remarketing - Display and Facebook Ad Exchange," $2,322.05 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Remarket,Display,0.003361345,1.030365178,2,0.583333333,0.692155495,0.366666667,8.320741599
"AOD - Top Site - Banking and Finance, Investment, Local & Business News, Luxury Shopping and Dining","AOD - Top Site - Banking and Finance, Investment, Local & Business News, Luxury Shopping and Dining"," $2,992.46 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display,0.000928505,0.456010749,0,0.2,0.414823934,0,1.351063959
Facebook - CTW - Target Affluent (Image Ad) - Risk Profile,Facebook - CTW - Target Affluent (Image Ad) - Risk Profile," $1,500.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.00241838,1.502356544,2,1.5,1.668758087,1.5,0
Facebook - CTW - Target Affluent (Image Ad) - Webinar,Facebook - CTW - Target Affluent (Image Ad) - Webinar," $1,499.90 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,0,0
Facebook - CTW - Target Affluent (Image Ad) - WWW,Facebook - CTW - Target Affluent (Image Ad) - WWW," $1,500.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.001071811,1,1,1,1,1,0
Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30,Facebook - R&F - Target Affluent - Sequential Image Ads - Forbes U30," $2,000.01 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.00284495,0.653934121,1,0.45,0.626099257,0.385714286,1.147807365
Facebook - R&F - Target Affluent (Carousel Ad),Facebook - R&F - Target Affluent (Carousel Ad)," $4,000.00 ",Click,Facebook,Brand,Facebook - Brand,,Branding,Publisher,Prospect,Social,0.004752852,4.111053348,2,3.333333333,3.905939761,5.874603175,3.941941813
Facebook - Target Affluent (Clicks-To-Website Ad),Facebook - Target Affluent (Clicks-To-Website Ad)," $9,749.76 ",Click,Facebook,Tactical,Facebook - Tactical,,Acquisition,Publisher,Prospect,Social,0.004195385,7.90420327,13,7.211111111,8.196924124,7.03968254,3.568830351
FB - CTW (Carousel Ad) - AU,FB - CTW (Carousel Ad) - AU," $4,153.26 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0,0,0,0,0,0,0
FB - CTW (Video Ad) Forbes Videos - AU,FB - CTW (Video Ad) Forbes Videos - AU," $19,840.74 ",Click,Facebook,Brand,Facebook - Brand,,Content Marketing,Publisher,Prospect,Social,0.001666288,19.45784279,21,18.75,19.73374358,0,0
Business Times.com - Homepage - Expandable Super Leaderboard (>),Business Times.com - Homepage - Expandable Super Leaderboard (>), $-   ,Click,Business Times,Brand,Business Times - Brand,,Branding,Publisher,Prospect,Display,0.024390244,0.519965864,1,0.333333333,0.519965864,1,5.609023345
Criteo - Remarketing,Criteo - Remarketing," $4,474.50 ",Click,Criteo,Tactical,Criteo - Tactical,,Acquisition,Exchange,Remarket,Display,0.00539707,4.762465817,4,2.915873016,2.212533925,,
ANZ Priority Banking,DBS Wealth Always On, $44.86 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,158.837013,76.05501997
Asset_Management,DBS Wealth Always On, $44.86 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Brand,DBS Wealth Always On, $77.48 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0.030327004,178.1175926,191,160.7730159,165.5980828,,
Citigold,DBS Wealth Always On," $5,269.00 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.020408163,3.435626483,3,3.166666667,3.324839559,,
Commodity,DBS Wealth Always On, $427.21 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
DBS Treasures Credit Card,DBS Wealth Always On, $57.49 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
DBS Treasures Travel,DBS Wealth Always On, $5.71 ,Click,Google Search,Tactical,Google Search - Tactical,Brand,Acquisition,Search,Prospect,SEM,0.055555556,1,1,1,1,,
Deposit,DBS Wealth Always On, $6.14 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.005367069,63.50157745,63,60.85238095,58.75531364,,
Derivatives,DBS Wealth Always On," $5,424.38 ",Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Equity,DBS Wealth Always On, $-   ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.011363636,0.490518316,0,0.5,0.490518316,,
Forex,DBS Wealth Always On, $267.36 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Future_Trading,DBS Wealth Always On," $1,090.75 ",Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Gold,DBS Wealth Always On, $74.35 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.006379585,2.753835729,2,2.5,2.369547656,,
HSBC Premier Banking,DBS Wealth Always On," $1,168.64 ",Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Investment,DBS Wealth Always On, $1.76 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Investment_Banking,DBS Wealth Always On, $41.02 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
KrisFlyer,DBS Wealth Always On, $2.00 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0.012779553,2.886415257,3,2.833333333,2.841292474,,
OCBC Premier Banking,DBS Wealth Always On, $1.61 ,Click,Google Search,Tactical,Google Search - Tactical,Competitor,Acquisition,Search,Prospect,SEM,0.012942192,10.47046634,11,9.658333333,9.132679417,,
Preferred_Banking,DBS Wealth Always On, $911.29 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
Premier_Banking,DBS Wealth Always On, $1.38 ,Click,Google Search,Tactical,Google Search - Tactical,Generic,Acquisition,Search,Prospect,SEM,0,0,0,0,0,,
