Placement.points,Contribution,Channel
Deposit,64.96269841,Google Search
Dianomi-Desktop,3.285714286,Dianomi
Equity,0.5,Google Search
Facebook-CTW-TargetAffluent(ImageAd)-RiskProfile,1.666666667,Facebook
Facebook-CTW-TargetAffluent(ImageAd)-RiskProfile(impression),0.201680672,Facebook
Facebook-CTW-TargetAffluent(ImageAd)-Webinar(impression),1.558823529,Facebook
Facebook-CTW-TargetAffluent(ImageAd)-WWW,1,Facebook
Facebook-R&F-TargetAffluent-SequentialImageAds-ForbesU30,0.619047619,Facebook
Facebook-R&F-TargetAffluent-SequentialImageAds-ForbesU30(impression),1.592156863,Facebook
Facebook-R&F-TargetAffluent(CarouselAd),4.633333333,Facebook
Facebook-R&F-TargetAffluent(CarouselAd)(impression),3.866666667,Facebook
Facebook-TargetAffluent(Clicks-To-WebsiteAd),7.657142857,Facebook
FB-CTW(CarouselAd)-AU(impression),2.833333333,Facebook
FB-CTW(VideoAd)ForbesVideos-AU,19.4,Facebook
FB-CTW(VideoAd)ForbesVideos-AU(impression),0.058823529,Facebook
Forbes-BonusAd-Billboard-(impression),4.506746032,Forbes
Forbes-BonusAd-HalfPage-,0.222222222,Forbes
Forbes-BonusAd-HalfPage-(impression),7.533369408,Forbes
Forbes-BonusAd-Leaderboard-(impression),0.233766234,Forbes
Forbes-BonusAds-Videos(impression),3,Forbes
Gold,2.733333333,Google Search
GoogleSponsoredPromotion-TargetAffluent,7.666666667,GSP
KrisFlyer,3.066666667,Google Search
LinkedIn-SponsoredContent-AsianInsights-AI,2.9,LinkedIn
LinkedIn-SponsoredInMail-AU,10,LinkedIn
OCBCPremierBanking,10.65,Google Search
OutBrain-ForbesVideos-AU,4.522222222,OutBrain
SCBPriorityBanking,0.4,Google Search
StandardCharteredPriorityBanking,0.5,Google Search
Stock_Market,1,Google Search
StraitsTimes.com-Homepage-Launchpad(to)(impression),7.046918768,Straits Times
StraitsTimes.com-Homepage-TransAd-16May2016,0.117647059,Straits Times
StraitsTimes.com-Homepage-TransAd-16May2016(impression),6.028304049,Straits Times
StraitsTimes.com-Homepage-TransAd-18May2016(impression),3.352113573,Straits Times
StraitsTimes.com-Homepage-TransAd-19May2016(impression),7.461637382,Straits Times
StraitsTimes.com-InsidePagesMobileTransAd,4.221428571,Straits Times
StraitsTimes.com-Others(ST&BTROSinSelectedSections),1.5,Straits Times
StraitsTimes.com-Others(ST&BTROSinSelectedSections)(impression),30.52992743,Straits Times
Trading_Account,2,Google Search
Twitter-TargetAffluent-Webinar(WebsiteCard),1.252525253,Twitter
Twitter-TargetAffluent-WWW(WebsiteCard),0.585858586,Twitter
Twitter-TargetAffluent(WebsiteCard),7,Twitter
Twitter(VideoCard)-ForbesVideos-AU,0.666666667,Twitter
Twitter(WebsiteCard)-OfferContent-AU,1,Twitter
UOBPrivilegeBanking,3.166666667,Google Search
Wealth_Management,0.715151515,Google Search
Y!AudienceAds-IPSG(impression),31.90406162,Yahoo!
Y!AudienceAds-IPSGInterestTargetFinance,1.450980392,Yahoo!
Y!AudienceAds-IPSGInterestTargetFinance(impression),50.86176683,Yahoo!
Yahoo-ContentPage-OfferContent--AU,0.585858586,Yahoo!
Yahoo-ContentPage-OfferContent--AU(impression),0.292929293,Yahoo!
Yahoo-Instream-PersonalFinance-AU,1.366666667,Yahoo!
Yahoo-Instream-PersonalFinance-OfferContent-AU,1.366666667,Yahoo!
Yahoo-StreamAds-GeneralTargeting,22.9589169,Yahoo!
Yahoo-StreamAds-GeneralTargeting(impression),69.64897504,Yahoo!
Yahoo-StreamAds-Retargeting,7.494631186,Yahoo!
Yahoo-StreamAds-Retargeting(impression),27.10334012,Yahoo!
YahooSGFinanceROS(Age30-49)-Billboard,0.65,Yahoo!
YahooSGFinanceROS(Age30-49)-Billboard(impression),8.032272303,Yahoo!
